album_id,track_id,artist_id,user_id
23284,155707,24539,4
23285,155708,24540,3
23286,155709,24541,3
23287,155710,24542,3
23288,155711,24543,3
23289,155712,24544,8
23290,155713,24545,8
23291,155714,24546,8
23292,155715,24547,8
23293,155716,24548,8
23294,155717,24549,8
23295,155718,24550,8
23296,155719,24551,8
23297,155720,24552,8
23298,155721,24553,8
23299,155722,24554,8
23300,155723,24554,8
23301,155724,24555,8
23302,155725,24556,8
23303,155726,24557,8
23304,155727,24558,8
23305,155728,24559,8
23306,155729,24560,8
23307,155730,24561,58
23308,155731,24562,1
23309,155732,24563,1
23310,155733,24564,1
23311,155734,24565,1
23312,155735,24566,2
23313,155736,24567,4
23314,155737,24568,4
23315,155738,24569,6
23316,155739,24569,5
23317,155740,24570,5
23318,155741,24570,5
23319,155742,24571,5
23320,155743,24572,5
23321,155744,24573,5
23322,155745,24574,5
23323,155746,24575,5
23324,155747,24576,5
23325,155748,24577,6
23326,155749,24578,6
23327,155750,24579,6
23328,155751,24580,6
23329,155752,24581,6
23330,155753,24582,6
23331,155754,24583,6
23332,155755,24584,6
23333,155756,24585,6
23334,155757,24586,6
23335,155758,24587,10
23336,155759,24588,10
23337,155760,24589,10
23338,155761,24590,10
23339,155762,24579,9
23340,155763,24591,9
23341,155764,24592,9
23342,155765,24593,9
23343,155766,24594,9
23344,155767,24595,9
23345,155768,24596,9
23346,155769,24597,9
23347,155770,24598,9
23348,155771,24599,9
23349,155772,24600,9
23350,155773,24601,9
23351,155774,24602,9
23352,155775,24603,9
23353,155776,24604,9
23354,155777,24605,92
23355,155778,24605,92
23356,155779,24606,92
23357,155780,24606,92
23360,155783,24608,102
23361,155784,24608,102
23362,155785,24609,102
23362,155786,24609,102
23363,155787,24610,102
23363,155788,24610,102
23364,155789,24611,102
23365,155790,24611,102
23366,155791,24612,100
23367,155792,24612,100
23368,155793,24613,100
23368,155794,24613,100
23369,155795,24614,100
23370,155796,24614,100
23371,155797,24615,88
23371,155798,24615,88
23372,155799,24616,88
23372,155800,24616,88
23373,155801,24617,88
23373,155802,24617,88
23374,155803,24618,88
23374,155804,24618,88
23375,155805,24619,88
23375,155806,24619,88
23376,155807,24620,88
23376,155808,24620,88
23377,155809,24621,88
23377,155810,24621,88
23378,155811,24622,88
23379,155812,24622,88
23380,155813,24623,88
23380,155814,24623,88
23381,155815,24624,88
23382,155816,24624,88
23383,155817,24625,88
23384,155818,24625,88
23385,155819,24626,87
23385,155820,24626,87
23386,155821,24627,87
23386,155822,24627,87
23387,155823,24628,87
23388,155824,24628,87
23389,155825,24629,87
23389,155826,24629,87
23390,155827,24540,87
23391,155828,24540,87
23392,155829,24630,86
23393,155830,24630,86
23394,155831,24631,86
23395,155832,24631,86
23396,155833,24632,86
23396,155834,24632,86
23397,155835,24633,81
23398,155836,24633,81
23399,155837,24634,81
23400,155838,24634,81
23401,155839,24635,81
23402,155840,24635,81
23403,155841,24636,81
23403,155842,24636,81
23404,155843,24637,81
23404,155844,24637,81
23405,155845,24638,81
23406,155846,24638,81
23407,155847,24639,80
23407,155848,24639,80
23408,155849,24640,76
23409,155850,24640,76
23410,155851,24641,76
23410,155852,24641,76
23411,155853,24642,76
23412,155854,24642,76
23413,155855,24643,76
23414,155856,24643,76
23415,155857,24644,76
23415,155858,24644,76
23416,155859,24645,74
23417,155860,24645,74
23418,155861,24646,73
23419,155862,24646,73
23420,155863,24647,73
23420,155864,24647,73
23421,155865,24648,71
23422,155866,24648,71
23423,155867,24649,71
23423,155868,24649,71
23424,155869,24650,71
23425,155870,24650,71
23426,155871,24651,69
23427,155872,24651,69
23428,155873,24652,69
23429,155874,24652,69
23430,155875,24653,69
23431,155876,24653,69
23432,155877,24654,69
23433,155878,24654,69
23434,155879,24655,69
23435,155880,24655,69
23436,155881,24656,67
23437,155882,24656,67
23438,155883,24657,66
23439,155884,24657,66
23440,155885,24658,66
23441,155886,24658,66
23442,155887,24659,65
23443,155888,24659,65
23444,155889,24660,59
23444,155890,24660,59
23445,155891,24661,59
23446,155892,24661,59
23447,155893,24662,59
23447,155894,24662,59
23448,155895,24663,56
23449,155896,24664,56
23450,155897,24665,56
23450,155898,24665,56
23451,155899,24666,54
23452,155900,24666,54
23453,155901,24667,54
23454,155902,24667,54
23455,155903,24668,54
23456,155904,24668,54
23457,155905,24663,52
23458,155906,24663,52
23459,155907,24669,52
23460,155908,24669,52
23461,155909,24670,52
23462,155910,24670,52
23463,155911,24671,51
23464,155912,24671,51
23465,155913,24672,51
23466,155914,24672,51
23467,155915,24673,51
23467,155916,24673,51
23468,155917,24674,51
23469,155918,24674,51
23470,155919,24675,51
23471,155920,24675,51
23472,155921,24676,48
23473,155922,24677,48
23474,155923,24678,47
23475,155924,24678,47
23476,155925,24679,47
23477,155926,24679,47
23478,155927,24680,47
23479,155928,24680,47
23480,155929,24681,47
23481,155930,24681,47
