artist_name,artist_url,artist_followers,artist_popularity,artist_genres,artist_image
Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,55615211,85,"classic rock, rock, glam rock",https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982
AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,32648697,83,"rock, hard rock, classic rock, rock and roll",https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37
Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,32642598,84,"metal, thrash metal, rock, heavy metal, hard rock",https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44
Green Day,https://open.spotify.com/artist/7oPftvlwr6VrsViSDV7fJY,17538490,82,"punk, pop punk",https://i.scdn.co/image/ab6761610000e5eb6ff0cd5ef2ecf733804984bb
Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,105624659,90,"rap, hip hop",https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b
Angèle,https://open.spotify.com/artist/3QVolfxko2UyCOtexhVTli,2792234,65,"french pop, variété française, chanson, french indie pop",https://i.scdn.co/image/ab6761610000e5eb2aefdc0f42eef75a60b341dd
TWICE,https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0,23699312,84,k-pop,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
aespa,https://open.spotify.com/artist/6YVMFz59CuY7ngCxTxjpxE,10004334,79,k-pop,https://i.scdn.co/image/ab6761610000e5eb18d4cb767d2dfe5f4b28ba07
BABYMONSTER,https://open.spotify.com/artist/1SIocsqdEefUTE6XKGUiVS,6180559,77,k-pop,https://i.scdn.co/image/ab6761610000e5ebdd103806bef7f753e85587ac
LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,8321404,82,k-pop,https://i.scdn.co/image/ab6761610000e5eb9095683b555d7c16fd3b633f
ILLIT,https://open.spotify.com/artist/36cgvBn0aadzOijnjjwqMN,4107954,78,k-pop,https://i.scdn.co/image/ab6761610000e5eb169a757a7d0ba53a33984416
ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,8989741,70,k-pop,https://i.scdn.co/image/ab6761610000e5eb81c00b4e062603d8159b1ad8
NMIXX,https://open.spotify.com/artist/28ot3wh4oNmoFOdVajibBl,4024703,71,k-pop,https://i.scdn.co/image/ab6761610000e5eb8aaf0595187aba8e8f1bd828
i-dle,https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx,11060450,71,k-pop,https://i.scdn.co/image/ab6761610000e5eb732a090e736faef27779d24e
fromis_9,https://open.spotify.com/artist/24nUVBIlCGi4twz4nYxJum,1587277,61,"k-pop, bubblegum pop",https://i.scdn.co/image/ab6761610000e5eb19a72055491055d0ab09f9b4
STARSET,https://open.spotify.com/artist/0kD8IT1CzF7js2XKM9lLLa,1122180,65,,https://i.scdn.co/image/ab6761610000e5eb6360a7b99211498fc60bc904
Mili,https://open.spotify.com/artist/0K05TDnN7xPwIHDOwD2YYs,423612,67,anime,https://i.scdn.co/image/ab6761610000e5eb78e4ca470b70e7b5ff4a98ad
Sakuzyo,https://open.spotify.com/artist/53BVcGSlpWPF7iYsSN0Oe1,65429,43,speedcore,https://i.scdn.co/image/ab6761610000e5eba53432e7c3eb4dfc26a15535
Carpenter Brut,https://open.spotify.com/artist/1l2oLiukA9i5jEtIyNWIEP,467795,56,"synthwave, darkwave",https://i.scdn.co/image/ab6761610000e5ebac2f9a19a87d094626992c94
Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,32358913,90,"nu metal, rap metal, rock, alternative metal",https://i.scdn.co/image/ab6761610000e5eb527d95dabbe8b8b527e8136f
Juliana Chahayed,https://open.spotify.com/artist/2qvGuhgaubJ02pfiKcJAdR,128084,48,lo-fi indie,https://i.scdn.co/image/ab6761610000e5eb0812c9a1d16199ab9f3c1d42
YOASOBI,https://open.spotify.com/artist/64tJ2EAv1R6UaZqc4iOCyj,9633130,74,"j-pop, anime",https://i.scdn.co/image/ab6761610000e5eb507349709ae19263301a62f7
BUMP OF CHICKEN,https://open.spotify.com/artist/0hSFeqPehe7FtCNWuQ6Bsy,1515799,65,"j-pop, j-rock, anime",https://i.scdn.co/image/ab6761610000e5eb50f6146945f10a1742caa289
Lena Raine,https://open.spotify.com/artist/3Ww8GMbCDMAGwJJ2hd7z7z,314889,60,,https://i.scdn.co/image/ab6761610000e5eb1d57e92e8f3fa62e756f9303
Toby Fox,https://open.spotify.com/artist/57DlMWmbVIf2ssJ8QBpBau,2158110,76,soundtrack,https://i.scdn.co/image/ab6761610000e5ebcce32307d0f312e8faf01bae
Muse,https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI,8534769,78,"alternative rock, rock",https://i.scdn.co/image/ab6761610000e5eba16a11aa5842607c88a8d8a9
Twenty One Pilots,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx,25894467,85,,https://i.scdn.co/image/ab6761610000e5eb61a7ea26d33ded218cd1e59d
She Wants Revenge,https://open.spotify.com/artist/2zRt0sfxNnqI8gLR7d8gWt,740442,65,"darkwave, gothic rock",https://i.scdn.co/image/ab6761610000e5eb6d46fba0802fbbe8ef62d842
Hoshi,https://open.spotify.com/artist/7mPT6wrOjVC4visft9qpYQ,882950,60,"french pop, variété française, chanson",https://i.scdn.co/image/ab6761610000e5eb046311c99339258fba26c4a5
Naâman,https://open.spotify.com/artist/2Gkz5N7rWiCE3jlCgsw1yp,267742,54,"reggae, ragga, dub",https://i.scdn.co/image/ab6761610000e5eb18dc00f12b2b1692a62a0d49
Parcels,https://open.spotify.com/artist/3oKRxpszQKUjjaHz388fVA,1110174,72,indie soul,https://i.scdn.co/image/ab6761610000e5eb3f64ee564d3617f6a764f933
Gracie Abrams,https://open.spotify.com/artist/4tuJ0bMpJh08umKkEXKUI5,7854724,84,,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
Phoenix,https://open.spotify.com/artist/1xU878Z1QtBldR7ru9owdU,1947242,65,indie,https://i.scdn.co/image/ab6761610000e5eb722051daeb10119e2e039724
Frank Ocean,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM,20676460,86,,https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab
Lana Del Rey,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,52963233,90,,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,147713302,100,,https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e
Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,61528947,90,,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb
Eagles Of Death Metal,https://open.spotify.com/artist/02uYdhMhCgdB49hZlYRm9o,572416,53,"stoner rock, garage rock",https://i.scdn.co/image/ab6772690000c46cb527d08497ff51fbbd3b0e0b
J Balvin,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5,39396344,88,"reggaeton, latin",https://i.scdn.co/image/ab6761610000e5eb0405b03342c2e56751b9923d
Stromae,https://open.spotify.com/artist/5j4HeCoUlzhfWtjAfM1acR,3894717,75,french pop,https://i.scdn.co/image/ab6761610000e5ebcc129f1c9b5047760d66aae2
Stromae,https://open.spotify.com/artist/5j4HeCoUlzhfWtjAfM1acR,3894717,75,french pop,https://i.scdn.co/image/ab6761610000e5ebcc129f1c9b5047760d66aae2
Twenty One Pilots,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx,25894467,85,,https://i.scdn.co/image/ab6761610000e5eb61a7ea26d33ded218cd1e59d
Måneskin,https://open.spotify.com/artist/0lAWpj5szCSwM4rUMHYmrr,10710506,78,,https://i.scdn.co/image/ab6761610000e5eb46d0db8a86fda630ec12401f
Indochine,https://open.spotify.com/artist/7knmbOGe07k85GmK50vACB,1361154,63,"variété française, chanson, french pop",https://i.scdn.co/image/ab6761610000e5eb1cde5600c843d091dbf318cd
Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,55615211,85,"classic rock, rock, glam rock",https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982
Ludovico Einaudi,https://open.spotify.com/artist/2uFUBdaVGtyMqckSeCl0Qj,4043192,79,"neoclassical, classical",https://i.scdn.co/image/ab6761610000e5eb86008946f7c35b22282d7e8c
The Blaze,https://open.spotify.com/artist/1Dt1UKLtrJIW1xxRBejjos,729779,63,,https://i.scdn.co/image/ab6761610000e5ebc47d7909754b4c16982e5626
U2,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,13690653,78,rock,https://i.scdn.co/image/ab6761610000e5ebe62be215d2ee31bcd97edaba
Lionel Richie,https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl,4589900,71,motown,https://i.scdn.co/image/ab6761610000e5eb002684808eb17d8b3645b57c
Madonna,https://open.spotify.com/artist/6tbjWDEIzxoDsBA1FuhfPW,8892560,81,,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b
Prince,https://open.spotify.com/artist/5a2EaR3hamoenG9rDuVn8j,7889569,72,"funk, funk rock",https://i.scdn.co/image/ab6761610000e5ebeaca358712b3fe4ed9814640
TWICE,https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0,23699312,84,k-pop,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864
Eagles Of Death Metal,https://open.spotify.com/artist/02uYdhMhCgdB49hZlYRm9o,572416,53,"stoner rock, garage rock",https://i.scdn.co/image/ab6772690000c46cb527d08497ff51fbbd3b0e0b
The Beatles,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,30951070,85,"classic rock, psychedelic rock",https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433
Oasis,https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4,12661803,83,"britpop, madchester",https://i.scdn.co/image/ab6761610000e5ebb4ddbc39706ef0f2ae0f7c9b
Dub Inc,https://open.spotify.com/artist/0fSuChlRe8ZYtVFYDoG87U,332201,56,"reggae, dub, ragga, roots reggae",https://i.scdn.co/image/ab6761610000e5eb8f8eb37d188ce1e2ee069d8f
Rohff,https://open.spotify.com/artist/32UhRcgdXO6LdLhOpfIdxp,729705,57,"french rap, french r&b",https://i.scdn.co/image/ab6761610000e5eb71c794ed448fec98dea6966a
Lacrim,https://open.spotify.com/artist/7DUTsWY3RBd64vh8UtgtYA,3040485,70,french rap,https://i.scdn.co/image/ab6761610000e5eba6e53271c7e42d81af4fea63
Muse,https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI,8534769,78,"alternative rock, rock",https://i.scdn.co/image/ab6761610000e5eba16a11aa5842607c88a8d8a9
Benson Boone,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET,7311095,85,,https://i.scdn.co/image/ab6761610000e5ebb68234e1a673acc3d873d3e6
Dub Inc,https://open.spotify.com/artist/0fSuChlRe8ZYtVFYDoG87U,332201,56,"reggae, dub, ragga, roots reggae",https://i.scdn.co/image/ab6761610000e5eb8f8eb37d188ce1e2ee069d8f
Gojira,https://open.spotify.com/artist/0GDGKpJFhVpcjIGF8N6Ewt,1812361,66,"groove metal, progressive metal, metal, death metal, djent",https://i.scdn.co/image/ab6761610000e5eb96c4949ee078fbef5d5adb68
Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,61528947,90,,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb
Damso,https://open.spotify.com/artist/2UwqpfQtNuhBwviIC0f2ie,5795771,77,"french rap, pop urbaine, french r&b",https://i.scdn.co/image/ab6761610000e5eb301a9c599d85d89e7a90fed0
Laylow,https://open.spotify.com/artist/0LnhY2fzptb0QEs5Q5gM7S,877659,62,"french rap, moroccan rap",https://i.scdn.co/image/ab6761610000e5eb83e5fcaa1aa7b751966cf706
Columbine,https://open.spotify.com/artist/5AAzeysphag0NxJxLbbVla,607581,50,french rap,https://i.scdn.co/image/ab6761610000e5ebc7d564a07372c1cb0691872b
Grégoire,https://open.spotify.com/artist/1WycOcJCIRAH5xyzHXtp1E,228682,50,"variété française, chanson, french pop",https://i.scdn.co/image/ab6761610000e5ebf52cd41da1f9fcfa62f19f4d
Thylacine,https://open.spotify.com/artist/5If5Tdg66Q5X3L57G7A6Pn,181465,53,electro,https://i.scdn.co/image/ab6761610000e5eb015dda37ad30a5a5ba10becd
Paul Kalkbrenner,https://open.spotify.com/artist/0rasA5Z5h1ITtHelCpfu9R,1352998,67,"minimal techno, electro",https://i.scdn.co/image/ab6761610000e5ebb72a52d500aa9e245f9ee6a1
Percy Sledge,https://open.spotify.com/artist/3rRmDmzPcAFwcUDvG5gBqO,569317,55,"motown, classic soul, soul",https://i.scdn.co/image/f7f4c9cd6e8389824de99e80202caf249c9e013b
Barbara Pravi,https://open.spotify.com/artist/3L4wiBOSDLkJ18OISXZDA8,294472,59,"chanson, french pop",https://i.scdn.co/image/ab6761610000e5eb74f24bf07393d18c0f4fdc7d
Les Cowboys Fringants,https://open.spotify.com/artist/54BZLczVMsW9sPSIcUst1a,334024,59,"chanson québécoise, rock quebecois, folk québécois, pop québécoise, chanson",https://i.scdn.co/image/ab6761610000e5eb5e3f194e3d737dd68fd4a1d9
Indochine,https://open.spotify.com/artist/7knmbOGe07k85GmK50vACB,1361154,63,"variété française, chanson, french pop",https://i.scdn.co/image/ab6761610000e5eb1cde5600c843d091dbf318cd
Francis Cabrel,https://open.spotify.com/artist/5uo5NwSONVNfvSHHMQrHAv,1204333,62,"variété française, chanson, french pop, french house, chanson québécoise",https://i.scdn.co/image/ab6761610000e5eb4a466259ed8dd954502b3ef3
Vianney,https://open.spotify.com/artist/4Nrd0CtP8txoQhnnlRA6V6,1587803,60,"variété française, french pop, chanson",https://i.scdn.co/image/ab6761610000e5ebe1034a8e3787d61805792b2e
Julien Doré,https://open.spotify.com/artist/6jStlKLflTMUN6BajxrNlj,990744,62,"variété française, french pop, chanson, french house, french indie pop",https://i.scdn.co/image/ab6761610000e5eba7475b5895e9a1d3800d60e4
Céline Dion,https://open.spotify.com/artist/4S9EykWXhStSc15wEx8QFK,10468160,78,variété française,https://i.scdn.co/image/ab6761610000e5ebc3b380448158e7b6e5863cde
Clara Luciani,https://open.spotify.com/artist/2oVrruuEI0Dr2I4NvLtQS0,951232,59,"french pop, variété française, french indie pop, chanson, french house",https://i.scdn.co/image/ab6761610000e5eb7a5ef741d8389396869345df
Mariah Carey,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ,12138831,86,christmas,https://i.scdn.co/image/ab6761610000e5ebd0a27777aaeb1725add6ace8
Orange Blossom,https://open.spotify.com/artist/0vAw8AfCObQgZlXRSRILOq,68719,42,,https://i.scdn.co/image/ab6761610000e5eb0be44ae9042d7c4e78f06386
Julien Doré,https://open.spotify.com/artist/6jStlKLflTMUN6BajxrNlj,990744,62,"variété française, french pop, chanson, french house, french indie pop",https://i.scdn.co/image/ab6761610000e5eba7475b5895e9a1d3800d60e4
Naive New Beaters,https://open.spotify.com/artist/0xW1QQBD5O09HptO2fEaI4,49939,42,french indie pop,https://i.scdn.co/image/ab6761610000e5ebb5bddbd57206b5ad6c9a309a
Vianney,https://open.spotify.com/artist/4Nrd0CtP8txoQhnnlRA6V6,1587803,60,"variété française, french pop, chanson",https://i.scdn.co/image/ab6761610000e5ebe1034a8e3787d61805792b2e
Chase Atlantic,https://open.spotify.com/artist/7cYEt1pqMgXJdq00hAwVpT,10683199,82,,https://i.scdn.co/image/ab6761610000e5eba4e2d7045cbcca592ba6c7dd
Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,27669650,93,pop,https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455
Odetari,https://open.spotify.com/artist/7ITMCzIU9uII8gwRg8JAhc,4643345,76,"hyperpop, nightcore",https://i.scdn.co/image/ab6761610000e5ebe7f0ccf618b34eac4a349735
The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,115103919,96,,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,108258362,94,pop,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5
Izïa,https://open.spotify.com/artist/6T08mUIMB32dtqq5ryxQZ3,107708,46,"french indie pop, french pop, french house, variété française, chanson",https://i.scdn.co/image/ab6761610000e5ebb298576bc0bdf9ae3fd5f775
Pink Floyd,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9,22927668,81,"progressive rock, psychedelic rock, classic rock, art rock, rock",https://i.scdn.co/image/ab6761610000e5eb97885ce689d644c91dfba05c
Saez,https://open.spotify.com/artist/2yQBgACksUJgNKh1JWPWPe,333862,56,"variété française, chanson, french house, french pop",https://i.scdn.co/image/ab6761610000e5eb2da93a82abb858239a1392ac
Kings of Leon,https://open.spotify.com/artist/2qk9voo8llSGYcZ6xrBzKx,5806193,78,,https://i.scdn.co/image/ab6761610000e5eb5e97fb0c8918ed67408f9edc
The xx,https://open.spotify.com/artist/3iOvXCl6edW5Um0fXEBRXy,3797408,67,,https://i.scdn.co/image/ab6761610000e5eb3a96db4736ef035e1fcb2516
Led Zeppelin,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp,16117700,78,"classic rock, rock, hard rock, rock and roll",https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e
Placebo,https://open.spotify.com/artist/6RZUqkomCmb8zCRqc9eznB,2110509,65,britpop,https://i.scdn.co/image/ab6761610000e5ebc8b42133fea50275b77f45e2
Rammstein,https://open.spotify.com/artist/6wWVKhxIU2cEi0K81v7HvP,11958674,79,"industrial metal, metal, industrial rock, industrial",https://i.scdn.co/image/ab6761610000e5eb32845b1556f9dbdfe8ee6575
Porcupine Tree,https://open.spotify.com/artist/5NXHXK6hOCotCF8lvGM1I0,772630,55,"progressive rock, progressive metal, art rock, space rock",https://i.scdn.co/image/ab6761610000e5ebc4f72407be5d96db73982400
Imagine Dragons,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,58666549,87,,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
Evanescence,https://open.spotify.com/artist/5nGIFgo0shDenQYSE0Sn7c,6370367,77,alternative metal,https://i.scdn.co/image/ab6761610000e5eb7ecf213c7dd78e0049379c5b
Avril Lavigne,https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j,12093804,77,,https://i.scdn.co/image/ab6761610000e5ebcea575e8c9519d4367984256
Bernhoft,https://open.spotify.com/artist/7hJnLLfzUy0oDOtNZF8wUm,110188,38,norwegian pop,https://i.scdn.co/image/ab6761610000e5eb11813986f25539f74a2e1790
Parcels,https://open.spotify.com/artist/3oKRxpszQKUjjaHz388fVA,1110174,72,indie soul,https://i.scdn.co/image/ab6761610000e5eb3f64ee564d3617f6a764f933
Jordan Rakei,https://open.spotify.com/artist/24icoQNJSEWNu3XvqKBR68,408954,59,"indie soul, neo soul",https://i.scdn.co/image/ab6761610000e5eba145cc3628c33e1469130e2f
GoGo Penguin,https://open.spotify.com/artist/19f2JXwlRU26376TCKmp6L,277170,49,"nu jazz, jazz, jazz fusion, indie jazz",https://i.scdn.co/image/ab6761610000e5eb5fce02f706e6a0efb6dd8171
SIAMES,https://open.spotify.com/artist/68NOjWuVYBRXzYwhel3jAl,285555,53,,https://i.scdn.co/image/ab6761610000e5ebb5c5d6f612c1489de4c86caa
NAO,https://open.spotify.com/artist/5fUp3OXyN3ljNtLZVaqyqg,72,3,,https://i.scdn.co/image/ab6761610000e5eb2b2833e2b2e1b7dc4767604e
M83,https://open.spotify.com/artist/63MQldklfxkjYDoUE4Tppz,2634784,72,,https://i.scdn.co/image/ab6761610000e5eb961ef259d6d8101edd2f80c0
Charlotte Cardin,https://open.spotify.com/artist/1G0YV9WooUBjrwDq0Q7EFK,704319,67,chanson québécoise,https://i.scdn.co/image/ab6761610000e5eb54eb1c3397e52c8314ffd839
Tom Misch,https://open.spotify.com/artist/1uiEZYehlNivdK3iQyAbye,1364047,66,indie soul,https://i.scdn.co/image/ab6761610000e5ebb52fc43462304eb6ae5bba5f
Twenty One Pilots,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx,25894467,85,,https://i.scdn.co/image/ab6761610000e5eb61a7ea26d33ded218cd1e59d
NF,https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz,11346507,83,christian hip hop,https://i.scdn.co/image/ab6761610000e5eb8fcc5c49d2116d7251ecbd65
