user_id,genre_id
1,15
1,5
1,3
1,4
1,1235
1,21
2,38
2,15
2,12
3,10
3,12
3,15
3,5
3,1235
3,20
4,10
4,12
4,1235
5,12
5,15
5,10
6,10
6,12
6,5
6,1235
6,2
7,5
7,4
7,9
7,1235
8,10
8,8
8,21
8,14
8,12
8,5
8,4
9,12
9,15
9,5
9,3
9,4
9,8
11,12
11,21
11,38
11,1235
11,20
12,21
12,15
12,5
12,4
12,10
13,10
13,15
13,12
14,12
14,21
14,15
14,10
15,9
15,17
15,15
16,10
16,12
16,21
17,12
17,21
17,10
17,2
17,9
17,15
18,10
18,15
18,5
18,4
18,1235
19,10
19,12
19,15
19,21
19,5
19,4
19,1235
20,4
20,5
20,38
20,9
20,2
20,1235
21,15
21,8
21,10
22,10
22,12
22,1235
22,14
22,21
23,12
23,10
23,21
23,1235
23,2
24,10
24,12
24,15
25,10
25,12
25,21
26,12
26,15
26,38
26,1235
27,1235
27,12
27,13
27,38
28,15
28,10
28,1235
28,8
28,2
28,12
29,1235
29,10
30,10
30,4
30,1235
30,13
30,15
30,12
31,10
31,15
31,5
31,21
31,1235
31,8
31,17
33,10
33,12
33,1235
33,20
34,12
34,10
35,10
35,12
35,4
35,9
35,1235
35,2
35,20
36,10
36,12
37,10
37,12
37,14
37,2
37,17
38,10
38,12
38,9
39,10
39,12
39,1235
39,21
39,14
39,20
39,17
40,10
40,12
40,14
40,17
40,9
40,2
41,15
41,14
41,1235
42,10
42,12
42,15
42,9
42,14
42,21
42,2
43,10
43,12
43,21
43,13
43,2
44,12
44,1235
44,8
44,2
44,10
44,21
45,10
45,2
46,10
46,1235
46,5
46,21
46,15
47,10
47,12
47,14
48,10
48,12
48,21
48,15
49,2
49,10
49,12
50,17
50,10
51,10
51,12
51,15
51,17
51,1235
52,12
52,21
52,14
52,8
53,4
53,15
53,14
53,12
53,10
53,5
53,3
54,10
54,12
55,10
55,15
55,21
56,12
56,2
57,10
57,12
57,20
57,1235
57,8
58,15
58,1235
58,21
58,10
58,12
59,21
59,10
59,8
59,2
60,15
60,10
60,12
61,10
61,12
61,5
62,15
62,21
62,14
62,12
62,10
62,20
62,13
63,15
63,12
63,10
63,9
63,1235
63,8
64,21
64,20
64,14
64,9
65,9
65,4
66,15
66,5
66,10
66,1235
67,12
67,15
67,5
67,1235
69,10
69,5
69,1235
70,10
70,12
71,21
71,1235
71,20
72,1235
72,38
72,15
73,10
74,20
75,10
75,12
76,10
76,15
76,14
77,12
77,21
77,10
77,14
77,15
77,17
77,38
78,10
78,3
78,4
79,10
79,12
79,5
79,17
79,1235
80,12
80,10
80,1235
81,10
81,12
81,5
81,20
81,1235
82,10
82,5
82,1235
83,10
83,21
83,15
83,14
83,12
84,10
84,12
84,3
84,17
85,10
85,12
85,4
85,38
85,5
86,10
86,12
86,15
86,5
86,38
86,1235
86,2
87,10
87,15
87,4
87,1235
88,10
88,4
89,21
89,12
89,2
90,10
90,12
90,15
90,5
90,3
90,4
90,1235
91,10
91,12
91,38
91,1235
91,20
91,15
92,21
92,14
92,2
93,15
93,12
93,14
94,10
94,5
94,4
94,3
94,12
94,1235
95,10
95,21
95,5
95,3
95,9
95,8
96,10
96,12
96,21
97,9
97,20
97,8
97,2
97,13
97,38
99,10
99,12
100,12
100,15
100,1235
100,8
100,10
101,12
101,5
101,3
101,8
101,10
101,20
102,10
102,12
102,14
102,3
102,17
102,9
